sample_size,m_sim,regret_adaptive,winner,regret_5,regret_10,regret_15
200,0,0.06487659550045913,6,0.04643641975308642,0.09331959749005203,0.11207843204775023
200,1,0.06675631185593309,7,0.04127270176512601,0.08117294408733802,0.10668607284970921
200,2,0.041272701765126,5,0.041272701765126,0.10094964799510253,0.10130051907968574
200,3,0.041272701765126,5,0.041272701765126,0.08071751351902864,0.10541362360983571
200,4,0.046864618406285086,6,0.01566092235486176,0.0376383812876237,0.07658269691868175
200,5,0.01566092235486176,5,0.01566092235486176,0.05182780328537903,0.07250781935516781
200,6,0.08427422967044179,8,0.03617792062034486,0.0885674089378635,0.10705626721763084
200,7,0.01582577543107848,6,0.01566092235486176,0.05039218192021222,0.08232777012549738
200,8,0.03617792062034485,5,0.03617792062034485,0.04627155647382919,0.08114763416998264
200,9,0.03617792062034486,5,0.03617792062034486,0.07292472961942659,0.11040142077339046
200,10,0.025059914804611783,6,0.025919421487603317,0.06348918732782369,0.08354996173859808
200,11,0.03617792062034486,5,0.03617792062034486,0.046730905009692875,0.07437516962554841
200,12,0.03752187531884503,7,0.025919421487603317,0.06630299459238853,0.09593064228139984
200,13,0.07898074686256504,10,0.01566092235486176,0.07898074686256504,0.10619292291602897
200,14,0.08848485486174881,7,0.01566092235486176,0.09513864274053667,0.09899948474645444
200,15,0.04643641975308642,5,0.04643641975308642,0.052813320069380665,0.0859206216202428
200,16,0.09196474721967145,12,0.10745117207427812,0.07673343536373839,0.09996910136720741
200,17,0.03101420263238447,5,0.03101420263238447,0.0869966368227732,0.09774395342312008
200,18,0.07999401591674318,7,0.03617792062034485,0.0725142868074686,0.09544285277012549
200,19,0.04643641975308642,5,0.04643641975308642,0.07581888072645648,0.10461528798081828
200,20,0.03653093051729418,7,0.03617792062034486,0.06223816702377308,0.09805058284868888
200,21,0.025919421487603317,5,0.025919421487603317,0.07348244821956944,0.09714453882256913
200,22,0.03878235001530457,6,0.01566092235486176,0.06727624349556166,0.08388001479440871
200,23,0.022991134833180285,6,0.01566092235486176,0.06297438016528926,0.08597606494235281
200,24,0.08020736021834507,7,0.03617792062034486,0.08453710080604018,0.10199493419038871
200,25,0.05656037521681462,7,0.05153120089786757,0.06147085501479439,0.0899492079889807
200,26,0.015012633914906634,8,0.01566092235486176,0.057926127435975916,0.0958093791449852
200,27,0.03681702377308438,6,0.01566092235486176,0.04968502958881747,0.07374355295378021
200,28,0.02591942148760333,5,0.02591942148760333,0.06979286042240589,0.09550662687480868
200,29,0.07964118457300273,9,0.025919421487603317,0.07466547673706762,0.08725437965513722
200,30,0.01566092235486176,5,0.01566092235486176,0.07399725538210386,0.08453894245485152
200,31,0.05543179394959695,6,0.03101420263238444,0.07649165008672583,0.09859031093765941
200,32,0.0722764016426895,8,0.03101420263238444,0.0868558004285277,0.10675306473829199
200,33,0.09620392689521476,12,0.03617792062034485,0.07145323436384042,0.09227218651158045
200,34,0.025919421487603317,5,0.025919421487603317,0.056351714110805,0.09396508264462808
200,35,0.01842694878073667,6,0.025919421487603317,0.0663028160391797,0.07991648683807774
200,36,0.044648168554229165,6,0.025919421487603303,0.0654165748393021,0.08426109198041014
200,37,0.03225283772064076,6,0.025919421487603317,0.05215127027854301,0.0824372908376696
200,38,0.07695830527497194,10,0.01566092235486176,0.07695830527497194,0.10295274206713599
200,39,0.05085017855320885,8,0.04643641975308642,0.07086460310172431,0.09788679981634527
200,40,0.028519316906438122,6,0.01566092235486176,0.03323079277624734,0.05458606137128863
200,41,0.08761614631160085,10,0.03617792062034486,0.08761614631160085,0.09845249591878377
200,42,0.061789700030609115,5,0.061789700030609115,0.048160266809509245,0.10011630445872868
200,43,0.03617792062034486,5,0.03617792062034486,0.060410141822263036,0.09053434343434341
200,44,0.06890344352617081,8,0.04492694878073668,0.07444554382205898,0.09274515483113967
200,45,0.025919421487603303,5,0.025919421487603303,0.04697633149678604,0.09787382537496173
200,46,0.025919421487603317,5,0.025919421487603317,0.042008389450056124,0.09232359198041015
200,47,0.044637195184164896,7,0.03617792062034486,0.06489367156412612,0.08368577186001427
200,48,0.08715016452402816,12,0.07193728191000918,0.09193273390470359,0.09990490511172329
200,49,0.10423223395571879,12,0.03617792062034485,0.07128197122742577,0.10242876747270685
200,50,0.01566092235486176,5,0.01566092235486176,0.051279440873380266,0.09371705183144577
200,51,0.05289639067442098,6,0.05153120089786756,0.07431610039791857,0.11794778211406998
200,52,0.027022927507397196,6,0.01566092235486176,0.06397963473114988,0.07965898505254565
200,53,0.046518707274767895,7,0.03617792062034485,0.06088262932353841,0.09688185516784001
200,54,0.06796801856953372,8,0.03617792062034486,0.0806748125191307,0.08852721150902967
200,55,0.016930559381695756,6,0.025919421487603317,0.08583050709111316,0.09143789281705947
200,56,0.046436419753086405,5,0.046436419753086405,0.06733276196306497,0.08887036909499027
200,57,0.0934155162738496,10,0.055185447913478236,0.0934155162738496,0.12036501504948474
200,58,0.09229443296602388,11,0.03101420263238447,0.10089797724721969,0.09952337261503927
200,59,0.0310734032241608,6,0.01566092235486176,0.07693500663197632,0.09073960565248443
200,60,0.039071788593000714,8,0.061678782777267634,0.07500958830731558,0.09488719645954494
200,61,0.05058176971737577,6,0.03617792062034486,0.06226252678298131,0.1019618329762269
200,62,0.03617792062034486,5,0.03617792062034486,0.05756489643913887,0.09471775329048054
200,63,0.08431063411896744,11,0.02591942148760333,0.08069973982246709,0.10472828920518312
200,64,0.08932591062136516,11,0.04643641975308642,0.055419538822569114,0.10922776885011733
200,65,0.01566092235486176,5,0.01566092235486176,0.05917259973472094,0.09356753392510966
200,66,0.043993893480257104,8,0.07570244617896132,0.08735945439240894,0.09970392944597488
200,67,0.05148353484338333,9,0.03101420263238447,0.0465340360677482,0.08579995281093764
200,68,0.024487524232221225,6,0.04127270176512603,0.0491100627486991,0.07714429139883686
200,69,0.041272701765126,5,0.041272701765126,0.06872413274155698,0.09890538848076727
200,70,0.040985250229568435,5,0.040985250229568435,0.08766834506682991,0.10125395622895624
200,71,0.08237882358942966,10,0.02591942148760333,0.08237882358942966,0.10653276451382512
200,72,0.02591942148760333,5,0.02591942148760333,0.055511322824201625,0.08526153071115192
200,73,0.025919421487603317,5,0.025919421487603317,0.0541089557188042,0.09890716508519537
200,74,0.06250821727374756,9,0.05153120089786756,0.07345134935210693,0.09803061039689825
200,75,0.054847250280583654,7,0.02591942148760333,0.055167778798081823,0.087223125191307
200,76,0.03617792062034486,5,0.03617792062034486,0.06733968727680847,0.09027861442709925
200,77,0.03101420263238444,5,0.03101420263238444,0.09613166513621059,0.10143227221712069
200,78,0.04098525022956842,5,0.04098525022956842,0.06092494898479747,0.09500704264870931
200,79,0.025919421487603303,5,0.025919421487603303,0.04797518620548924,0.07626044536271806
200,80,0.025919421487603317,5,0.025919421487603317,0.04920150749923477,0.0841149436282012
200,81,0.07359613687378838,11,0.025919421487603317,0.048815577492092616,0.08283152229364349
200,82,0.06178970003060911,5,0.06178970003060911,0.07822239822467095,0.10326055377002345
200,83,0.025919421487603317,5,0.025919421487603317,0.06375943016018773,0.08729486149372512
200,84,0.061678782777267634,5,0.061678782777267634,0.08981022344658707,0.10716914983164982
200,85,0.06369386542189573,9,0.03617792062034486,0.06240976941128456,0.10203490460157125
200,86,0.025919421487603317,5,0.025919421487603317,0.04690250739720436,0.08109036195286193
200,87,0.01842694878073667,6,0.01566092235486176,0.04123712121212121,0.08059656795224976
200,88,0.04899103407815529,7,0.061678782777267634,0.07475108917457401,0.09653621824303642
200,89,0.03617792062034486,5,0.03617792062034486,0.07483074558718499,0.09429452734414855
200,90,0.01566092235486176,5,0.01566092235486176,0.057369469952045726,0.08876785914702581
200,91,0.025919421487603303,5,0.025919421487603303,0.05661510049994897,0.08413099173553719
200,92,0.02561987169676566,6,0.03617792062034486,0.053857614018977665,0.10352894985205591
200,93,0.046292227833894514,6,0.02591942148760333,0.06142285736149372,0.078836472043669
200,94,0.052671756708499134,6,0.025919421487603317,0.07561181512090602,0.09447800479542902
200,95,0.05549525048464443,6,0.01566092235486176,0.07193728191000917,0.08208031323334353
200,96,0.032721774563820014,6,0.03617792062034486,0.05611757473727168,0.09133992704826037
200,97,0.03617792062034485,5,0.03617792062034485,0.07386383022140597,0.10128083741454952
200,98,0.01566092235486176,5,0.01566092235486176,0.06075316039179675,0.09479579507193142
200,99,0.09104517778798081,12,0.04643641975308642,0.07865272676257523,0.09735756810529536
200,100,0.03590560784613818,7,0.025919421487603317,0.0690252882358943,0.07368398250178552
200,101,0.09088303872053871,9,0.03617792062034486,0.08014220742781347,0.10633889781654932
200,102,0.040202849199061336,6,0.025919421487603317,0.057988664421997765,0.09681134833180285
200,103,0.03639183884297523,6,0.02591942148760333,0.05364079175594329,0.1049061473319049
200,104,0.047441989337822676,9,0.025919421487603317,0.07663462146719724,0.0848991110600959
200,105,0.03617792062034486,5,0.03617792062034486,0.08467941153963882,0.09455111850831549
200,106,0.054209523262932366,6,0.025919421487603317,0.0580137460463218,0.10039751938577696
200,107,0.025919421487603303,5,0.025919421487603303,0.030648150698908264,0.07907842822161001
200,108,0.05100695464748495,6,0.025919421487603303,0.07586160595857566,0.09241697785940209
200,109,0.03773322875216813,7,0.03101420263238444,0.0512014743393531,0.07506887307417609
200,110,0.01566092235486176,5,0.01566092235486176,0.04574982399755127,0.07667170441791651
200,111,0.06570607208448118,8,0.06199114631160087,0.0783343306805428,0.09958723599632688
200,112,0.08431565911641667,11,0.03101420263238444,0.08283328486889091,0.09308067799204162
200,113,0.0296241008570554,6,0.025919421487603303,0.03823789409243954,0.08489735358636873
200,114,0.07328360243852666,11,0.01566092235486176,0.07052594633200693,0.07360311065197428
200,115,0.06148902280379552,8,0.04098525022956842,0.059253280277522705,0.07551457886950311
200,116,0.03617792062034485,5,0.03617792062034485,0.04927082185491276,0.08214492143658808
200,117,0.05100695464748495,6,0.03617792062034486,0.05574327109478623,0.08738475155596366
200,118,0.03101420263238447,5,0.03101420263238447,0.07974320477502295,0.09187401795735128
200,119,0.05046006912559943,9,0.05153120089786756,0.0593618227731864,0.08871855040302007
200,120,0.025919421487603317,5,0.025919421487603317,0.06457914753596572,0.08868378354249565
200,121,0.01566092235486176,5,0.01566092235486176,0.041138937353331295,0.07939020380573408
200,122,0.0707156961024385,11,0.025919421487603303,0.060766824813794494,0.08994842618100192
200,123,0.02591942148760333,5,0.02591942148760333,0.077130060708091,0.09417592847668604
200,124,0.08763918732782366,8,0.03617792062034486,0.10892058718498114,0.1183422724721967
200,125,0.022458741454953593,6,0.025919421487603303,0.04961145801448831,0.08186162508927661
200,126,0.05141529308233854,7,0.03101420263238447,0.05843638659320477,0.09779222145699416
200,127,0.041272701765126,5,0.041272701765126,0.08612718345066829,0.11147133073155799
200,128,0.03617792062034485,5,0.03617792062034485,0.077168084889297,0.09047428323640444
200,129,0.041272701765126,5,0.041272701765126,0.0650384960718294,0.08402646286093254
200,130,0.03760167584940313,6,0.05153120089786756,0.05473312927252323,0.08976275507601264
200,131,0.05186349097030914,7,0.07703206305479032,0.08362514284256709,0.09812858381797773
200,132,0.03421816396286094,6,0.04098525022956842,0.048650714212835414,0.08525236965615751
200,133,0.06633360498928681,7,0.025919421487603317,0.04659040148964391,0.09389317033976123
200,134,0.07569866977859403,6,0.025919421487603303,0.08564053923069073,0.1007098892970105
200,135,0.01566092235486176,5,0.01566092235486176,0.06624753596571781,0.0816108751657994
200,136,0.025919421487603317,5,0.025919421487603317,0.07128819253137436,0.09040370625446381
200,137,0.058978810835629,7,0.03101420263238447,0.0897883124171003,0.10920038644015914
200,138,0.053675403020099974,8,0.01566092235486176,0.06850381083562902,0.09665187863483317
200,139,0.04224175211713091,6,0.04643641975308642,0.06593468523620037,0.08609611391694723
200,140,0.03513984925007656,6,0.02591942148760333,0.06354476328946025,0.09748199545964696
200,141,0.0362570668809305,6,0.03101420263238444,0.053457749209264355,0.08808931741659012
200,142,0.03617792062034485,5,0.03617792062034485,0.09199289358228752,0.10414339863279257
200,143,0.06836330731558005,10,0.03617792062034486,0.06836330731558005,0.08624145750433627
200,144,0.056762991021324344,7,0.05124374936230998,0.07566087389041933,0.0943359134272013
200,145,0.01566092235486176,5,0.01566092235486176,0.050041898785838174,0.08092322212019179
200,146,0.07565207631874299,8,0.01566092235486176,0.05139069737781858,0.08316479951025403
200,147,0.01566092235486176,5,0.01566092235486176,0.05148248137945109,0.08288045607591062
200,148,0.05153120089786757,5,0.05153120089786757,0.06484927303336396,0.08067958881746759
200,149,0.020389961483522095,6,0.02591942148760333,0.05013565197428832,0.07770921972247727
200,150,0.01582577543107848,6,0.01566092235486176,0.05407107948168555,0.08472419140903986
200,151,0.07505359147025811,12,0.01566092235486176,0.06255701203958779,0.09106014054688297
200,152,0.04654128405264771,7,0.03617792062034486,0.060496699316396285,0.09055958448117538
200,153,0.025919421487603317,5,0.025919421487603317,0.05319925007652282,0.09113538797061524
200,154,0.06779241021324353,6,0.04127270176512603,0.08102570145903479,0.09289822849709212
200,155,0.046436419753086405,5,0.046436419753086405,0.058735419855116835,0.09692137154372002
200,156,0.03283372870115295,7,0.04127270176512601,0.07691125905519844,0.1105933935312723
200,157,0.025059914804611783,6,0.03617792062034485,0.06351354708703194,0.0848033006836037
